activity_id,date_local,name,sport,location,distance_km,duration_s,duration_hms,avg_hr,max_hr,elev_gain_m,elev_loss_m,aero_TE,ana_TE,vo2max,avg_speed_mps,max_speed_mps,pace_min_per_km,hr_z1_s,hr_z2_s,hr_z3_s,hr_z4_s,hr_z5_s,is_parent,has_polyline,calories,sets_info
20133557865,2025-08-21 18:54:51,Nat. piscine,lap_swimming,,2.15,3025.22,50m25s,158.0,186.0,,,3.5,1.7000000476837158,,,,23:27/km,10.256,418.573,1901.233,688.089,0.0,False,False,502.0,
20132543117,2025-08-21 17:50:21,Zoteux Course à pied,running,Zoteux,5.016,1656.28,27m36s,165.0,184.0,63.0,62.0,3.299999952316284,0.0,55.0,3.031,3.499,5:30/km,11.995,96.003,642.909,879.144,0.0,False,True,297.0,
20122147469,2025-08-20 17:57:06,Nat. piscine,lap_swimming,,1.525,2412.51,40m13s,126.0,162.0,,,2.5,0.20000000298023224,,,,26:21/km,714.656,427.069,770.996,0.0,0.0,False,False,277.0,
20110834484,2025-08-19 17:36:33,Zoteux Cyclisme sur route,road_biking,Zoteux,20.93,2924.01,48m44s,,,184.0,183.0,0.10000000149011612,0.0,,7.148,12.708,2:19/km,,,,,,False,True,573.0,
20100140263,2025-08-18 18:49:53,Zoteux Course à pied,running,Zoteux,5.025,1570.01,26m10s,158.0,192.0,58.0,59.0,3.299999952316284,0.0,55.0,3.192,3.891,5:12/km,55.0,537.942,55.997,774.942,101.806,False,True,276.0,
20073461172,2025-08-16 09:08:21,La Tène Course à pied,running,La Tène,2.414,895.2,14m55s,150.0,175.0,26.0,25.0,2.299999952316284,0.0,55.0,2.694,2.939,6:10/km,30.115,328.989,263.938,272.094,0.0,False,True,143.0,
20067363890,2025-08-15 15:52:38,Frutigen-Niedersimmental Natation en eau libre,open_water_swimming,Frutigen-Niedersimmental,0.131,188.16,3m08s,106.0,135.0,,,0.20000000298023224,0.0,,0.691,1.112,24:00/km,77.001,23.746,0.0,0.0,0.0,False,True,16.0,
20057343083,2025-08-14 12:33:05,Château-d'Oex Marche à pied,walking,Château-d'Oex,2.445,2813.12,46m53s,132.0,166.0,58.0,61.0,2.200000047683716,0.0,53.0,0.748,1.875,19:10/km,508.965,1419.177,729.284,0.0,0.0,False,True,309.0,
20047492832,2025-08-13 17:13:38,Villeneuve Marche à pied,walking,Villeneuve,4.006,3877.7,1h04m38s,117.0,138.0,12.0,11.0,0.800000011920929,0.0,54.0,0.992,1.791,16:08/km,1579.998,1805.132,0.0,0.0,0.0,False,True,252.0,
20044841142,2025-08-13 13:41:11,Noville Marche à pied,walking,Noville,2.661,2114.08,35m14s,125.0,149.0,14.0,12.0,0.699999988079071,0.0,54.0,1.258,1.456,13:14/km,565.293,1477.766,70.986,0.0,0.0,False,True,159.0,
20037037832,2025-08-12 16:28:10,Chamonix-Mont-Blanc Randonnée,hiking,Chamonix-Mont-Blanc,6.472,12179.5,3h22m59s,117.0,160.0,39.0,1024.0,2.299999952316284,0.30000001192092896,,0.381,1.642,31:21/km,4309.441,6324.579,138.002,0.0,0.0,False,True,860.0,
20034461940,2025-08-12 09:49:14,Chamonix-Mont-Blanc Randonnée,hiking,Chamonix-Mont-Blanc,10.215,13436.37,3h43m56s,148.0,186.0,1048.0,137.0,4.0,2.9000000953674316,,0.493,1.81,21:55/km,1316.339,4866.681,2914.354,3937.278,0.0,False,True,1679.0,
