hr,body_battery,timestamp_gmt_ms,moving_s,time_s,elapsed_s,dist_m,timestamp_utc
112.0,77.0,1753265762000.0,0.0,94.0,94.0,0.0,2025-07-23 10:16:02+00:00
113.0,77.0,1753265768000.0,0.0,100.0,100.0,0.0,2025-07-23 10:16:08+00:00
114.0,77.0,1753265770000.0,0.0,102.0,102.0,0.0,2025-07-23 10:16:10+00:00
115.0,77.0,1753265772000.0,0.0,104.0,104.0,0.0,2025-07-23 10:16:12+00:00
115.0,77.0,1753265774000.0,0.0,106.0,106.0,0.0,2025-07-23 10:16:14+00:00
116.0,77.0,1753265775000.0,0.0,107.0,107.0,0.0,2025-07-23 10:16:15+00:00
115.0,77.0,1753265781000.0,0.0,113.0,113.0,0.0,2025-07-23 10:16:21+00:00
114.0,77.0,1753265783000.0,0.0,115.0,115.0,0.0,2025-07-23 10:16:23+00:00
113.0,77.0,1753265785000.0,0.0,117.0,117.0,0.0,2025-07-23 10:16:25+00:00
112.0,77.0,1753265786000.0,0.0,118.0,118.0,0.0,2025-07-23 10:16:26+00:00
113.0,77.0,1753265787000.0,0.0,119.0,119.0,0.0,2025-07-23 10:16:27+00:00
115.0,77.0,1753265789000.0,0.0,121.0,121.0,0.0,2025-07-23 10:16:29+00:00
118.0,77.0,1753265790000.0,0.0,122.0,122.0,0.0,2025-07-23 10:16:30+00:00
119.0,77.0,1753265791000.0,0.0,123.0,123.0,0.0,2025-07-23 10:16:31+00:00
118.0,77.0,1753265792000.0,0.0,124.0,124.0,0.0,2025-07-23 10:16:32+00:00
117.0,77.0,1753265794000.0,0.0,126.0,126.0,0.0,2025-07-23 10:16:34+00:00
116.0,77.0,1753265796000.0,0.0,128.0,128.0,0.0,2025-07-23 10:16:36+00:00
117.0,77.0,1753265800000.0,0.0,132.0,132.0,0.0,2025-07-23 10:16:40+00:00
115.0,77.0,1753265802000.0,0.0,134.0,134.0,0.0,2025-07-23 10:16:42+00:00
111.0,77.0,1753265803000.0,0.0,135.0,135.0,0.0,2025-07-23 10:16:43+00:00
106.0,77.0,1753265804000.0,0.0,136.0,136.0,0.0,2025-07-23 10:16:44+00:00
104.0,77.0,1753265805000.0,0.0,137.0,137.0,0.0,2025-07-23 10:16:45+00:00
100.0,77.0,1753265807000.0,0.0,139.0,139.0,0.0,2025-07-23 10:16:47+00:00
97.0,77.0,1753265808000.0,0.0,140.0,140.0,0.0,2025-07-23 10:16:48+00:00
92.0,77.0,1753265809000.0,0.0,141.0,141.0,0.0,2025-07-23 10:16:49+00:00
90.0,77.0,1753265810000.0,0.0,142.0,142.0,0.0,2025-07-23 10:16:50+00:00
89.0,77.0,1753265811000.0,0.0,143.0,143.0,0.0,2025-07-23 10:16:51+00:00
88.0,77.0,1753265813000.0,0.0,145.0,145.0,0.0,2025-07-23 10:16:53+00:00
87.0,77.0,1753265817000.0,0.0,149.0,149.0,0.0,2025-07-23 10:16:57+00:00
85.0,77.0,1753265819000.0,0.0,151.0,151.0,0.0,2025-07-23 10:16:59+00:00
79.0,77.0,1753265820000.0,0.0,152.0,152.0,0.0,2025-07-23 10:17:00+00:00
72.0,77.0,1753265821000.0,0.0,153.0,153.0,0.0,2025-07-23 10:17:01+00:00
70.0,77.0,1753265822000.0,0.0,154.0,154.0,0.0,2025-07-23 10:17:02+00:00
70.0,77.0,1753265825000.0,0.0,157.0,157.0,0.0,2025-07-23 10:17:05+00:00
69.0,77.0,1753265827000.0,0.0,159.0,159.0,0.0,2025-07-23 10:17:07+00:00
71.0,77.0,1753265831000.0,0.0,163.0,163.0,0.0,2025-07-23 10:17:11+00:00
72.0,77.0,1753265833000.0,0.0,165.0,165.0,0.0,2025-07-23 10:17:13+00:00
74.0,77.0,1753265834000.0,0.0,166.0,166.0,0.0,2025-07-23 10:17:14+00:00
78.0,77.0,1753265835000.0,0.0,167.0,167.0,0.0,2025-07-23 10:17:15+00:00
77.0,77.0,1753265836000.0,0.0,168.0,168.0,0.0,2025-07-23 10:17:16+00:00
78.0,77.0,1753265837000.0,0.0,169.0,169.0,0.0,2025-07-23 10:17:17+00:00
76.0,77.0,1753265838000.0,0.0,170.0,170.0,0.0,2025-07-23 10:17:18+00:00
77.0,77.0,1753265840000.0,0.0,172.0,172.0,0.0,2025-07-23 10:17:20+00:00
78.0,77.0,1753265841000.0,0.0,173.0,173.0,0.0,2025-07-23 10:17:21+00:00
77.0,77.0,1753265843000.0,0.0,175.0,175.0,0.0,2025-07-23 10:17:23+00:00
79.0,77.0,1753265845000.0,0.0,177.0,177.0,0.0,2025-07-23 10:17:25+00:00
82.0,77.0,1753265846000.0,0.0,178.0,178.0,0.0,2025-07-23 10:17:26+00:00
85.0,77.0,1753265847000.0,0.0,179.0,179.0,0.0,2025-07-23 10:17:27+00:00
89.0,77.0,1753265848000.0,0.0,180.0,180.0,0.0,2025-07-23 10:17:28+00:00
92.0,77.0,1753265849000.0,0.0,181.0,181.0,0.0,2025-07-23 10:17:29+00:00
95.0,77.0,1753265850000.0,0.0,182.0,182.0,0.0,2025-07-23 10:17:30+00:00
97.0,77.0,1753265851000.0,0.0,183.0,183.0,0.0,2025-07-23 10:17:31+00:00
100.0,77.0,1753265852000.0,0.0,184.0,184.0,0.0,2025-07-23 10:17:32+00:00
101.0,77.0,1753265853000.0,0.0,185.0,185.0,0.0,2025-07-23 10:17:33+00:00
103.0,77.0,1753265854000.0,0.0,186.0,186.0,0.0,2025-07-23 10:17:34+00:00
104.0,77.0,1753265858000.0,0.0,190.0,190.0,0.0,2025-07-23 10:17:38+00:00
105.0,77.0,1753265859000.0,0.0,191.0,191.0,0.0,2025-07-23 10:17:39+00:00
104.0,77.0,1753265861000.0,0.0,193.0,193.0,0.0,2025-07-23 10:17:41+00:00
103.0,77.0,1753265863000.0,0.0,195.0,195.0,0.0,2025-07-23 10:17:43+00:00
102.0,77.0,1753265865000.0,0.0,197.0,197.0,0.0,2025-07-23 10:17:45+00:00
101.0,77.0,1753265866000.0,0.0,198.0,198.0,0.0,2025-07-23 10:17:46+00:00
103.0,77.0,1753265867000.0,0.0,199.0,199.0,0.0,2025-07-23 10:17:47+00:00
104.0,77.0,1753265868000.0,0.0,200.0,200.0,0.0,2025-07-23 10:17:48+00:00
103.0,77.0,1753265870000.0,0.0,202.0,202.0,0.0,2025-07-23 10:17:50+00:00
104.0,77.0,1753265872000.0,0.0,204.0,204.0,0.0,2025-07-23 10:17:52+00:00
106.0,77.0,1753265874000.0,0.0,206.0,206.0,0.0,2025-07-23 10:17:54+00:00
107.0,77.0,1753265875000.0,0.0,207.0,207.0,0.0,2025-07-23 10:17:55+00:00
108.0,77.0,1753265876000.0,0.0,208.0,208.0,0.0,2025-07-23 10:17:56+00:00
109.0,77.0,1753265877000.0,0.0,209.0,209.0,0.0,2025-07-23 10:17:57+00:00
108.0,77.0,1753265878000.0,0.0,210.0,210.0,0.0,2025-07-23 10:17:58+00:00
107.0,77.0,1753265879000.0,0.0,211.0,211.0,0.0,2025-07-23 10:17:59+00:00
106.0,77.0,1753265880000.0,0.0,212.0,212.0,0.0,2025-07-23 10:18:00+00:00
105.0,77.0,1753265881000.0,0.0,213.0,213.0,0.0,2025-07-23 10:18:01+00:00
104.0,77.0,1753265882000.0,0.0,214.0,214.0,0.0,2025-07-23 10:18:02+00:00
103.0,77.0,1753265884000.0,0.0,216.0,216.0,0.0,2025-07-23 10:18:04+00:00
100.0,77.0,1753265885000.0,0.0,217.0,217.0,0.0,2025-07-23 10:18:05+00:00
96.0,77.0,1753265886000.0,0.0,218.0,218.0,0.0,2025-07-23 10:18:06+00:00
95.0,77.0,1753265887000.0,0.0,219.0,219.0,0.0,2025-07-23 10:18:07+00:00
94.0,77.0,1753265888000.0,0.0,220.0,220.0,0.0,2025-07-23 10:18:08+00:00
95.0,77.0,1753265889000.0,0.0,221.0,221.0,0.0,2025-07-23 10:18:09+00:00
88.0,77.0,1753265891000.0,0.0,223.0,223.0,0.0,2025-07-23 10:18:11+00:00
84.0,77.0,1753265892000.0,0.0,224.0,224.0,0.0,2025-07-23 10:18:12+00:00
